Sequence,label
144 144 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 186 186,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 11 3 3 3 3 3 3 3,0
254 254 254 254 254 186 144 254 254 254 254 254 254 254 254 186 144 254 254 254,0
3 3 3 3 3 3 3 3 144 144 144 3 3 3 3 3 3 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 3 3 3 3 3,0
3 3 3 3 3 3 3 144 423 424 423 424 430 430,0
11 11 254 254 423 424 423 424,0
11 3 3 3 3 3 3 3 3 3 3 3 3 3 144 144 144 3 3 3,0
11 254 11 11 423 424 423 424,0
11 11 423 424 423 424,0
113 3 11 3 3 3 3 3 3 3 3 3 3 3 3 11 3 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 144 144 3 3,0
8 11 254 254 254 11 254 254 4 6 6 6 6 6 6 6 6 6 6 6,0
144 423 424 423 424 423 424 423 424 423 424,0
3 3 3 3 3 3 3 3 3 3 3 3 3 144 3 3 3 3 3 423,0
11 3 3 3 3 3 11 11 11 11 11 11 3 3 3 3 3 11 11 11,0
11 11 11 3 3 11 3 3 3 3 11 11 11 11 11 11 3 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 11 3,0
19 109 109 109 110 111 112 112 3 11 3 3 3 3 11 11 11 11 11 11,0
3 3 3 3 3 3 3 3 3 11 3 3 11 3 3 3 3 144 3 3,0
11 254 254 254 254 254 254 254 254 186 11 254 254 254 254 254 254 254 254 186,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 3 3,0
225 225 93 93 225 225 93 93 225 225 93 93 225 225 93 93 225 225 93 93,0
26 19 109 109 109 110 111 112 112 113 109 114 109 115 109 116 26 3 11 3,0
4 4 4 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6,0
11 254 254 254 254 254 254 254 254 186 144 144 254 254 254 254 254 254 254 254,0
11 11 254 254 144 423 424 423 424 430,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
424 423 424 423 424,0
11 11 11 11 11 3 3 3 3 3 3 11 11 3 3 3 3 3 3 3,0
11 3 3 3 3 144 144 3 3 3 3 144 144 3 3 144 144 3 3 144,0
4 6 6 6 7 4 6 6 6 7 4 6 6 6 7 4 6 6 6 7,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 3 3 3 3,0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0
144 144 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 186 186,0
6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 4 6 6 6 6,0
423 424 423 424 430,0
3 3 3 3 3 3 3 3 3 144 144 144 144 3 3 3 3 3 3 3,0
3 3 144 144 3 3 3 3 3 423 424 423 424,0
3 3 3 3 3 3 3 3 3 144 423 424 423 424 430,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 144 144 3 3,0
11 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 144,0
144 254 254 254 254 254 254 254 254 186 144 144 254 254 254 254 254 254 254 254,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 423 424 423 424 430,0
423 424 423 424 430,0
3 3 144 144 3 3 3 144 144 3 3 3 3 3 3 3 3 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 144 144,0
3 3 144 423 424 423 424 430 430,0
3 423 424 423 424,0
11 254 254 254 254 254 254 254 254 186 11 254 254 254 254 254 254 254 254 186,0
11 11 11 11 11 11 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
115 109 116 26 27 28 28 27 29 19 30 31 31 30 18 32 26 33 3 3,0
11 11 254 254 423 424 423 424,0
423 424,0
6 6 6 6 6 6 6 6 6 4 6 6 6 7 4 6 6 6 6 6,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 3 3 3 3 3,0
3 3 3 11 11 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
26 27 28 28 27 29 19 30 31 31 30 18 32 26 33 3 3 3 3 3,0
4 6 7 3 3 4 6 7 4 6 7 11 3 3 3 3 4 6 7 144,0
3 3 3 3 3 3 3 3 3 3 3 423 424 423 424 430,0
11 254 254 254 11 254 254 144 254 254 254 254 254 254 144 254 254 254 254 423,0
424 423 424,0
115 109 116 26 27 28 28 27 29 19 30 31 31 30 18 32 26 33 34 33,0
6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 11 11,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
11 11 254 254 144 423 424 423 424,0
424 430 430,0
11 11 11 3 3 11 3 3 11 11 11 11 11 11 3 3 3 3 3 3,0
144 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 144 144 254,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 11 3 3,0
144 254 254 254 254 254 254 254 254 186 144 254 254 254 254 254 254 254 254 186,0
3 3 3 3 11 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
423 424 430,0
3 3 3 3 3 3 3 3 3 3 3 3 3 144 144 144 423 424 423 424,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
3 3 45 11 11 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
6 357 355 6 6 6 6 6 357 355 6 357 355 6 6 6 6 6 6 6,0
11 254 254 254 254 254 254 254 254 186 144 144 254 254 254 254 254 254 254 254,0
3 3 144 144 3 3 3 3 3 3 3 3 3 3 3 3 144 423 424 423,0
232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232,0
3 3 3 11 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
3 3 3 3 3 3 3 3 3 3 144 3 3 3 144 144 3 3 3 3,0
430,0
11 254 11 11 254 254 423 424 423 424,0
7 4 6 6 6 6 6 6 6 6 7 4 6 6 6 7 4 6 6 6,0
11 11 254 254 53 120 144 423 424 423 424 430,0
11 254 11 11 423 424 423 424,0
144 144 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 144 144,0
3 3 3 3 3 3 3 3 3 3 3 11 3 3 3 3 3 3 3 3,0
254 423 424 423 424,0
11 254 11 11 254 254 423 424 423 424,0
232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232,0
11 3 3 3 3 3 3 3 3 3 3 144 144 144 144 144 3 3 3 3,0
11 11 254 254 423 424 423 424,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 3 3 3,0
232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232,0
144 144 144 144 144 144 144 144 144 144 3 3 3 3 423 424 423 424,0
109 116 26 27 28 28 27 29 19 30 31 31 30 18 32 26 33 34 33 35,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 11 3 3 3 11,0
11 254 11 11 254 254 423 424 423 424,0
11 254 11 11 423 424 423 424,0
89 91 9 92 91 9 92 91 9 92 91 9 92 91 9 92 91 9 92 91,0
3 3 144 144 144 423 424 423 424 430 430,0
11 254 11 11 423 424 423 424,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 11 11 3 11 3,0
254 186 144 254 254 254 254 254 254 254 254 186 144 254 254 254 254 254 254 254,0
144 254 254 254 254 254 254 254 254 186 144 254 254 254 254 254 254 254 254 186,0
3 3 144 423 424 423 424 430 430,0
423 424 423 424 430 430,0
11 11 3 3 3 3 11 3 3 3 3 11 11 11 11 11 11 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 11 11 3 3 3 11 3 3,0
423 424 423 424,0
3 3 3 144 144 3 3 3 3 3 3 3 3 3 3 3 3 3 144 254,0
3 3 3 3 3 3 3 3 3 11 3 3 3 3 3 3 3 3 3 3,0
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 144 144 3 3,0
91 9 92 91 9 92 91 9 92 91 9 92,0
11 11 254 254 423 424 423 424,0
11 3 3 3 3 11 11 11 11 11 3 3 3 3 3 3 3 3 3 3,0
3 11 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 144,0
11 254 11 11 254 254 423 424 423 424,0
6 6 6 6 6 6 357 355 6 6 6 6 6 6 357 428 355 357,0
114 109 115 109 116 26 27 28 28 27 29 19 30 31 31 30 18 32 26 33,0
144 144 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 186 186,0
3 3 3 144 144 3 144 144 144 3 144 144 144 144 144 144 144 3 3 3,0
3 3 3 3 3 3 3 11 11 11 11 11 11 11 11 11 11 11 11 11,0
3 3 3 3 3 144 144 144 423 424 423 424 430,0
3 3 3 3 3 3 3 3 11 11 11 11 11 11 11 11 11 11 11 11,0
3 3 3 3 3 3 3 3 3 3 3 144 144 144 3 3 3 3 3 3,0
254 254 254 254 254 186 144 254 254 254 254 254 254 254 254 186 144 254 254 254,0
225 225 93 93 225 225 93 93 225 225 93 93 225 226 225 93 93 225 225 93,0
3 3 3 3 3 3 11 3 3 3 3 3 3 144 3 3 3 3 144 144,0
3 3 3 11 11 11 11 11 11 3 3 3 3 3 3 3 3 3 3 3,0
254 254 254 254 254 254 254 186 144 254 254 254 254 254 254 254 254 186 144 254,0
144 144 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 186 186,0
3 144 144 3 3 144 144 3 3 144 144 144 144 144 144 144 144 3 3 3,0
7 4 6 4 6 6 7 4 6 6 6 7 4 6 6 7 4 6 7 4,0
424 423 424 430,0
430,0
3 3 3 144 144 3 3 3 3 3 3 3 3 3 3 3 3 3 3 144,0
3 3 3 3 3 3 3 3 3 3 11 11 11 11 11 11 11 11 11 11,0
3 3 3 3 3 3 3 3 3 3 3 3 11 3 3 3 3 3 3 3,0
122 122 122 122 122 122 122 122 122 122 122 122 122 122 122 122 122 122 122 122,0
3 11 11 11 11 3 3 11 3 3 3 3 11 11 11 11 11 11 3 3,0
254 254 254 254 254 186 144 254 254 254 254 254 254 254 254 186 144 144 254 254,0
3 3 3 3 3 3 11 11 3 3 3 3 3 3 3 3 3 3 3 3,0
423 424,0
3 3 3 3 3 144 144 423 424 423 424 430,0
424 423 424,0
6 6 6 6 6 6 6 6 6 6 6 4 6 7 4 6 6 6 7 4,0
11 254 11 11 423 424 423 424,0
144 144 144 423 424 423 424,0
254 254 186 186 423 424 423 424,0
144 423 424 423 424 430 430,0
3 3 3 3 3 3 3 3 3 3 3 3 3 144 144 144 423 424 423 424,0
33 34 33 35 35 36 37 37 38 104 39 41 41 39 39 39 104 38 43 49,0
254 254 254 11 254 254 144 254 254 254 254 254 254 144 254 254 254 254 423 424,0
110 111 112 112 113 109 114 109 115 109 116 26 3 142 18 26 19 109 109 109,0
3 3 3 3 3 11 3 11 3 3 3 3 144 144 3 3 3 3 144 144,0
11 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
144 144 423 424 423 424,0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0
11 254 11 11 423 424 423 424,0
357,0
116 26 27 28 28 27 29 19 30 31 31 30 18 32 26 33 3 3 3 11,0
11 254 11 11 423 424 423 424,0
112 113 109 114 109 115 109 116 26 27 3 11 3 3 3 3 3 3 3 3,0
423 424,0
3 3 3 3 3 3 3 3 3 3 3 3 3 11 3 3 3 3 3 3,0
144 254 254 254 254 254 254 254 254 186 144 254 254 254 254 254 254 254 254 186,0
423 424,0
3 3 3 3 3 3 3 3 3 3 3 3 3 11 11 3 3 3 11 11,0
3 11 11 11 11 3 3 3 3 11 11 11 11 3 3 3 3 3 3 3,0
3 3 3 3 3 3 3 11 3 3 3 3 3 3 3 3 3 3 3 3,0
144 144 144 144 144 144 3 3 3 3 3 144 144 144 144 144 144 144 144 144,0
4 6 7 4 6 7 4 6 7 4 6 7 4 6 7 4 6 7 4 6,0
3 3 3 3 3 3 3 3 3 3 11 3 3 11 3 3 3 3 144 3,0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,0
11 11 254 254 423 424 423 424,0
11 11 254 254 423 424 423 424,0
3 3 3 3 3 3 3 3 3 3 144 254 144 144 423 424 423 424 430,0
3 3 3 3 3 144 144 144 144 144 3 53 120 53 120 53 120 423 424 423,0
254 186 144 254 254 254 254 254 254 254 254 186 144 254 254 254 254 254 254 254,0
232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232 232,0
6 6 6 6 6 6 6 7 4 6 6 6 7 4 6 6 4 6 6 6,0
3 3 3 3 3 3 3 144 144 144 144 3 3 3 3 3 423 424 423 424,0
11 254 254 254 254 11 254 254 144 254 254 254 254 254 144 254 254 254 423 424,0
3 3 3 3 3 11 3 3 3 3 3 3 3 3 3 3 3 3 3 3,0
11 254 254 254 254 254 254 254 254 186 144 144 254 254 254 254 254 254 254 254,0
6 6 7 4 6 6 6 7 4 6 7 144 144 4 6 7 8 3 3 3,0
11 254 254 254 254 11 254 254 254 144 254 254 254 254 254 144 254 254 254 254,0
3 144 144 144 423 424 423 424 430 430,0
